date,treenumber,treatment,healthrating,sootymoldrating,spad1,spad2,spad3,spad4,spad5,spad_avg,aphid1,aphid2,aphid3,aphid_avg,length (cm),final_os,final_female,final_male,final_nymph,abc_retention ,final_cmbsc,final_cmbsd,initial_os,initial_female,initial_male,initial_nymph,initial_cmbsc,initial_cmbsd
7/16/2023,1,sdb,1,2,30.8,45.5,38.3,32.1,47,38.74,0,0,0,0,439.3,0,27,79,161,0,267,0.607785113,130,6,26,0,162,0.368768495
,2,lw_netted,4,1,13.3,14.6,21.8,30.5,19.2,19.88,0,0,0,0,81,0,2,12,193,0,207,2.555555556,12,4,30,0,46,0.567901235
,3,untreated,1,2,37.3,43.3,32.6,45.2,25.6,36.8,0,0,0,0,316,4,22,429,2194,0,2649,8.382911392,54,5,32,0,91,0.287974684
,4,untreated,3,2,12.5,25.1,6.3,25.6,19,17.7,0,0,0,0,69.9,10,18,271,1195,0,1494,21.37339056,17,51,48,1,117,1.673819742
,5,lw_netted,2,3,23.4,29.8,37.2,1.8,16.2,21.68,6,10,7,7.666666667,206.5,0,7,88,725,0,820,3.97094431,23,3,37,0,63,0.305084746
,6,both,1,1,37.5,27.5,33.7,39.7,40.7,35.82,0,0,1,0.333333333,594.2,9,14,8,27,0,58,0.097610232,9,5,10,0,24,0.040390441
,7,sdb,1,2,34.8,34.1,29.5,34.4,40.2,34.6,0,0,0,0,378.5,11,65,871,2090,0,3037,8.023778071,37,7,23,0,67,0.177014531
,8,untreated_netted,3,2,14,13.8,39.1,23.9,34.8,25.12,7,3,0,3.333333333,97.3,11,8,19,833,0,871,8.951695786,19,9,44,0,72,0.739979445
,1491,clean,3,1,30.2,24.6,19.4,37.6,26.6,27.68,0,0,0,0,385.6,0,0,0,6,0,6,0.015560166,0,0,0,0,0,0
,10,lw_netted,2,3,22,42.3,30.5,41.4,21.2,31.48,102,50,37,63,562.1,11,74,188,1753,0,2026,3.604340865,36,8,48,3,95,0.169009073
,11,sdb_netted,3,1,21.7,25.4,32.2,27.7,16.3,24.66,0,0,0,0,79.5,3,4,12,21,0,40,0.503144654,31,7,21,0,59,0.742138365
,12,lw ,2,2,15.5,14.2,16.5,17.5,31,18.94,0,0,0,0,165.5,8,191,597,1319,0,2115,12.77945619,43,4,2,0,49,0.296072508
,13,both_netted,3,4,43.8,23.1,23.9,16.9,22.6,26.06,1,0,0,0.333333333,135.1,4,66,166,2859,0,3095,22.90895633,49,10,16,0,75,0.555144338
,14,untreated ,2,2.5,15,11.7,8.2,8.6,7.7,10.24,0,1,0,0.333333333,100.6,33,64,216,1282,0,1595,15.85487078,42,24,6,23,95,0.944333996
,15,lw_netted,4,3,21.6,29,26.9,5.7,17.6,20.16,0,1,1,0.666666667,86.7,21,0,34,1251,0,1306,15.06343714,27,21,82,1,131,1.510957324
,16,sdb ,2.5,1,29.8,24.9,28.4,23.4,44.2,30.14,0,6,1,2.333333333,105.3,5,7,81,656,0,749,7.113010446,16,4,14,0,34,0.32288699
,17,both_netted,3,3.5,39.5,41.8,31,32.2,25.1,33.92,23,60,23,35.33333333,140.5,11,5,19,268,1,303,2.15658363,13,9,6,0,28,0.199288256
,18,untreated,3,2,12.7,18.7,27.9,15.8,28,20.62,0,0,1,0.333333333,113.4,2,15,152,485,0,654,5.767195767,38,5,6,0,49,0.432098765
,19,untreated_netted,4,3,28.4,22,18.5,10,9.2,17.62,4,13,0,5.666666667,119.8,0,0,0,0,0,0,0,2,0,5,0,7,0.058430718
,20,both ,3,1,13.9,22.5,13.7,21,13.9,17,0,0,0,0,106.1,3,36,91,160,0,290,2.7332705,2,0,15,0,17,0.160226202
,21,sdb ,3,1,29.2,16.8,30.3,27.5,24.7,25.7,0,0,0,0,110.8,0,0,0,0,0,0,0,0,2,0,0,2,0.018050542
,22,clean,1,1,34.2,29.7,18,37.9,39.8,31.92,0,8,1,3,232,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,untreated_netted,3,2,22.7,26.2,27,21.5,18.9,23.26,0,0,0,0,133.1,0,0,6,10,0,16,0.120210368,4,0,3,0,7,0.052592036
,24,untreated,3,3,22.4,23,23,32,27.7,25.62,0,1,0,0.333333333,91.5,51,106,88,1923,0,2168,23.69398907,15,11,24,0,50,0.546448087
,25,lw,3,2,9.6,16.3,15.9,13.2,15.8,14.16,4,1,12,5.666666667,105.8,3,3,6,412,0,424,4.007561437,1,0,12,0,13,0.122873346
,26,both_netted,4,3,30.1,25.8,14.4,24.9,20.6,23.16,0,0,0,0,127.7,0,1,96,177,0,274,2.145653876,6,0,2,0,8,0.062646829
,27,untreated,4,2,18.6,13,25.5,16.9,38.9,22.58,0,0,0,0,150.8,1,45,228,340,0,614,4.071618037,7,0,25,0,32,0.212201592
,28,untreated,4,2,17.4,11.5,12.8,18.1,8.8,13.72,0,1,1,0.666666667,89.6,0,0,16,23,0,39,0.435267857,1,0,0,0,1,0.011160714
,29,untreated_netted,4,3.5,24.6,21.1,23.5,30.2,25.8,25.04,28,78,43,49.66666667,144.1,0,1,20,231,0,252,1.748785566,3,0,0,0,3,0.020818876
,30,sdb,4,2,57,30.5,18.4,21.6,23.8,30.26,17,6,12,11.66666667,101.7,0,31,217,175,0,423,4.159292035,6,0,6,0,12,0.1179941
,31,lw,4,1,36.5,12.1,23.2,22.4,17.7,22.38,0,0,0,0,95.2,1,0,12,195,0,208,2.18487395,2,0,2,0,4,0.042016807
,32,clean,3.5,1,16.1,19,24.8,22.6,27.5,22,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
,33,both_netted,3,3,25.9,31.8,45.2,34.5,23,32.08,0,0,0,0,134,23,96,193,343,0,655,4.888059701,3,5,7,1,16,0.119402985
,34,sdb,3,3,20.6,26,14.4,12.5,18.7,18.44,4,0,1,1.666666667,127.5,12,24,139,231,0,406,3.184313725,4,2,9,0,15,0.117647059
,35,untreated,3,2,25.1,20.7,18.7,20.2,20.2,20.98,3,1,4,2.666666667,110.9,16,60,87,64,0,227,2.046889089,1,0,0,0,1,0.009017133
,1186,clean,3,1,41,28.9,26.1,31.2,24.8,30.4,0,0,0,0,279.4,0,0,0,0,0,0,0,0,0,0,0,0,0
,37,lw,3,2,19.6,15.7,21.4,18.4,20.4,19.1,0,2,0,0.666666667,142.9,7,25,106,836,0,974,6.815955213,10,2,16,4,32,0.22393282
,38,lw_netted,3.5,4,24.1,25.9,17.4,9.5,28,20.98,0,0,0,0,122.9,3,2,20,696,0,721,5.866558177,48,24,34,9,115,0.935720098
,39,untreated_netted,4,2,20.1,23.9,20,18.6,24.3,21.38,0,0,0,0,85.5,1,1,22,143,0,167,1.953216374,3,1,2,0,6,0.070175439
,40,untreated,4,4,15.5,14.9,21.1,11,11,14.7,0,0,0,0,42,0,4,69,648,0,721,17.16666667,19,2,5,0,26,0.619047619
,41,both_netted,3,3,24.2,31.3,33.2,21.7,29.7,28.02,0,0,0,0,100.1,6,17,259,1326,0,1608,16.06393606,90,13,33,0,136,1.358641359
,42,both,2,1,25.2,32.2,41,22.8,29.8,30.2,0,0,0,0,122.6,1,27,81,130,0,239,1.949429038,2,1,0,0,3,0.024469821
,43,lw ,3,2,17.8,22.1,13.5,16,19.7,17.82,0,2,0,0.666666667,86.2,1,6,89,245,0,341,3.955916473,5,4,1,0,10,0.116009281
,1193,clean,1,1,37.2,42.7,23.1,43.5,21.6,33.62,0,1,0,0.333333333,292.8,0,0,10,1,0,11,0.037568306,0,0,0,0,0,0
,45,sdb,3,2,34.4,45,36.8,37.7,35.2,37.82,0,0,1,0.333333333,119.2,6,37,218,364,0,625,5.243288591,10,2,22,5,39,0.327181208
,1180,clean,1,1,39.3,35.8,34,32.7,22.9,32.94,0,0,0,0,296.5,0,0,0,0,0,0,0,0,0,0,0,0,0
,47,lw,2,2,16.5,19,22.6,27.6,26.5,22.44,0,0,0,0,144.5,9,3,80,1712,0,1804,12.48442907,15,71,39,7,132,0.91349481
,48,untreated_netted,4,1,25.4,15.2,19.4,13.1,49.9,24.6,0,0,0,0,67,0,0,10,67,0,77,1.149253731,1,0,0,3,4,0.059701493
,49,untreated_netted,1.5,1,31.7,22.3,31,26.1,25.2,27.26,0,0,0,0,283.1,5,1,24,121,0,151,0.533380431,1,1,13,5,20,0.070646415
,50,both,3.5,2,33.2,16.2,21,18.1,22.5,22.2,0,0,0,0,106.9,3,54,527,443,0,1027,9.607109448,30,0,12,0,42,0.392890552
,51,sdb_netted,3,3,23.2,20.9,13.7,23.3,20.7,20.36,0,0,0,0,135,9,2,176,548,0,735,5.444444444,32,16,29,19,96,0.711111111
,52,lw,3.5,2,22,25.7,16.7,20.6,11.6,19.32,0,0,0,0,86.3,11,7,148,367,0,533,6.17612978,13,10,30,7,60,0.695249131
,53,both,3,2,29.4,30.7,16.6,13.5,18.2,21.68,1,0,0,0.333333333,138.6,2,46,129,425,0,602,4.343434343,10,3,4,5,22,0.158730159
,54,both,3.5,2,25.3,37.5,23.1,30,29.2,29.02,0,0,0,0,117.5,9,16,72,1410,0,1507,12.82553191,49,21,57,45,172,1.463829787
,55,both,4,2,27.8,14,22.1,20.3,11.9,19.22,0,2,0,0.666666667,92.4,18,7,118,1049,0,1192,12.9004329,36,20,14,9,79,0.854978355
,56,sdb,3.5,2,27.8,27.4,30.5,29,32.2,29.38,0,0,0,0,93.1,22,33,36,314,0,405,4.350161117,6,2,16,5,29,0.311493018
,57,sdb_netted,4,2,12.6,10.7,13.8,21.4,27,17.1,0,0,0,0,95.8,3,2,7,361,0,373,3.893528184,43,11,54,14,122,1.27348643
,58,untreated,3,2,33.9,13.5,39.2,22.3,18.2,25.42,0,0,0,0,99,22,83,212,190,0,507,5.121212121,12,1,5,0,18,0.181818182
,59,lw_netted,4,3,27.6,28.2,29.8,29.5,14.7,25.96,22,26,2,16.66666667,66.8,2,0,4,249,0,255,3.817365269,10,9,8,1,28,0.419161677
,60,both_netted,4,3,15.6,10.3,19.3,23.5,19.4,17.62,3,5,3,3.666666667,114.8,39,24,114,771,0,948,8.257839721,39,14,19,1,73,0.635888502
,61,untreated_netted,1,1,28.2,26.9,34.2,28.4,31.9,29.92,2,1,8,3.666666667,668.8,0,27,31,280,0,338,0.505382775,10,5,9,0,24,0.035885167
,62,lw_netted,1.5,1,35.2,34.8,50.2,39.5,42.3,40.4,4,3,12,6.333333333,472.7,61,24,124,1044,0,1253,2.65072985,24,24,73,11,132,0.27924688
,1177,clean,2.5,1,30.1,31,30.8,27.5,24.5,28.78,0,0,0,0,153.5,0,1,0,0,0,1,0.006514658,0,0,0,0,0,0
,63,lw_netted,1,2,31.6,34.2,51.3,40.2,43.1,40.08,18,35,20,24.33333333,446.2,2,27,121,125,0,275,0.616315554,6,6,15,0,27,0.060510982
,64,sdb_netted,1,2,29.2,41.1,34.5,20.5,26.4,30.34,5,18,17,13.33333333,508.7,0,2,23,50,2,75,0.147434637,12,1,2,0,15,0.029486927
,65,both_netted,2,3,37.7,24.6,44.4,50.2,33.7,38.12,1,0,0,0.333333333,277.5,0,0,0,147,0,147,0.52972973,60,0,29,0,89,0.320720721
,66,lw,1.5,1,30.4,26.4,31.9,32.6,18.3,27.92,0,0,0,0,209.5,4,2,1,75,0,82,0.391408115,0,12,10,0,22,0.105011933
,67,both_netted,2.5,3,38.4,53.5,56.8,53.1,51.9,50.74,1,0,0,0.333333333,372.5,10,62,1013,2325,0,3410,9.154362416,100,36,63,0,199,0.534228188
,68,clean,3,1,6.6,12.7,10.8,20.1,23.1,14.66,0,0,0,0,128.5,0,0,0,0,0,0,0,0,0,0,0,0,0
,69,clean,2,1,16.9,21.2,14.4,24.7,18.6,19.16,0,0,0,0,175.5,0,0,0,0,0,0,0,0,0,0,0,0,0
,70,lw,3,2,33.3,33.7,38.1,24.4,22.4,30.38,0,0,0,0,95.4,21,8,116,445,0,590,6.184486373,13,1,5,1,20,0.209643606
,71,both_netted,2,2,27.7,17.2,33,31,19.3,25.64,0,0,0,0,116.3,0,57,459,698,0,1214,10.43852107,25,2,16,0,43,0.369733448
,72,lw_netted,3.5,3,21,21.1,25,25.5,24,23.32,0,1,5,2,150.2,11,5,103,1684,0,1803,12.00399467,41,7,7,1,56,0.372836218
,73,both,3,1,31.6,11.2,21.7,16.1,9.6,18.04,0,0,0,0,93.1,17,136,179,459,0,791,8.496240602,8,4,16,18,46,0.494092374
,74,both_netted,2.5,2,40.3,40.1,33,24,21.8,31.84,0,0,0,0,174.1,4,9,9,147,0,169,0.970706491,10,9,28,9,56,0.321654222
,75,lw,4,2,11.6,21.3,16.9,28.1,20.1,19.6,0,1,6,2.333333333,94.5,10,16,285,1218,0,1529,16.17989418,19,21,18,0,58,0.613756614
,76,clean,2,1,23.8,29.4,20.1,20.4,25.9,23.92,10,1,0,3.666666667,117,0,0,0,0,0,0,0,0,0,4,0,4,0.034188034
,77,both ,2,2,38.7,22.3,39,30.5,43.7,34.84,0,0,2,0.666666667,125,77,75,160,1086,0,1398,11.184,26,20,32,1,79,0.632
,78,sdb_netted,2,1,45.3,22.8,19.4,28.4,30.3,29.24,0,0,0,0,109.5,2,4,33,215,0,254,2.319634703,15,3,27,0,45,0.410958904
,79,lw_netted,4,2,10.7,18,13.9,21.2,11.8,15.12,3,1,1,1.666666667,104.6,57,10,43,1010,0,1120,10.70745698,1,34,52,0,87,0.831739962
,80,both,3,1,23.6,36.9,19.3,17.3,13.8,22.18,8,2,5,5,193.7,4,19,57,59,0,139,0.717604543,1,0,3,0,4,0.02065049
,81,untreated_netted,1,1,31,36,40.5,42.8,42.3,38.52,0,0,0,0,231.3,6,14,40,20,0,80,0.345871163,4,26,43,0,73,0.315607436
,82,both_netted,4,2,22.2,19.7,19.4,19.8,24.1,21.04,0,0,1,0.333333333,107.7,1,24,160,740,0,925,8.588672238,14,4,6,0,24,0.222841226
,83,untreated ,1,2,44.1,42.3,43.1,38.4,41.2,41.82,0,0,0,0,549.7,50,11,58,311,0,430,0.782244861,6,1,11,0,18,0.032745134
,84,both,1,1,30.8,22.7,23.1,39.2,40.7,31.3,1,0,0,0.333333333,527.7,3,3,3,70,0,79,0.149706273,1,2,9,0,12,0.022740193
,85,lw_netted,2,3,33.6,42.4,34.1,36.6,37.7,36.88,0,2,4,2,402.2,5,48,740,933,0,1726,4.291397315,19,4,6,0,29,0.072103431
,86,lw,1,1,45.3,19.2,43.6,38.9,19.4,33.28,0,0,0,0,207.6,0,36,88,222,0,346,1.666666667,11,0,10,0,21,0.101156069
,87,sdb ,3,2,9.4,18.8,7.8,8.5,10.6,11.02,0,0,0,0,89,20,33,49,414,0,516,5.797752809,14,0,30,7,51,0.573033708
,88,untreated,4,2,12.4,47.8,38.5,38.2,39.3,35.24,0,0,0,0,112.8,13,45,83,258,0,399,3.537234043,3,3,16,0,22,0.195035461
,89,sdb_netted,4,3,31.2,25.8,28.6,25.9,29.8,28.26,0,0,0,0,90.2,0,0,5,9,3,14,0.155210643,24,0,26,0,50,0.554323725
,90,sdb_netted,3.5,1,17.5,19.7,23.6,38.4,18.1,23.46,0,0,0,0,87.3,0,0,5,47,0,52,0.595647194,15,1,7,0,23,0.263459336
,91,lw_netted,2,2,14.2,19.2,36.3,24,17.3,22.2,0,0,0,0,184.9,13,25,45,245,0,328,1.773931855,5,10,12,5,32,0.173066522
,92,untreated_netted,3.5,3,17.8,16.8,11.6,20.8,18.9,17.18,0,1,3,1.333333333,107,14,0,15,309,0,338,3.158878505,34,5,23,2,64,0.598130841
,93,sdb_netted,3.5,3,17.1,13.6,16.2,26.3,10.4,16.72,0,0,0,0,105.8,11,0,3,11,2,25,0.236294896,13,18,84,7,122,1.153119093
,94,sdb,3.5,2.5,30.8,24.8,29.8,26.2,18.5,26.02,0,0,0,0,81.1,0,0,65,565,0,630,7.768187423,63,10,26,0,99,1.220715166
,95,sdb,3,1,17.8,36.6,32.3,34.5,20.1,28.26,0,0,0,0,71.4,0,1,0,0,0,1,0.014005602,1,0,0,0,1,0.014005602
,1466,clean,1,1,43.5,42.9,26.8,45,42.4,40.12,0,0,0,0,246.8,0,0,0,0,0,0,0,0,0,0,0,0,0
,97,untreated_netted,3,2,16.5,10.1,21.7,13.4,27.1,17.76,0,0,0,0,105,16,6,80,82,0,184,1.752380952,38,3,9,5,55,0.523809524
,98,sdb_netted,4,1,8.4,8,12.4,9.3,9.4,9.5,0,0,0,0,87.5,0,0,0,0,0,0,0,10,5,3,0,18,0.205714286
,99,lw ,1,1,18.6,37.5,34.2,26.7,33.5,30.1,0,0,0,0,541.2,11,94,230,361,0,696,1.286031042,5,3,3,1,12,0.022172949
,100,sdb,3,2,14.8,38.5,24.4,32.4,37.7,29.56,0,0,0,0,120.5,2,25,205,873,0,1105,9.170124481,27,3,14,8,52,0.43153527
,101,sdb_netted,3,1,29.7,14,29.7,10.8,14,19.64,0,0,0,0,200.5,1,0,0,78,0,79,0.394014963,15,1,2,0,18,0.089775561
,102,sdb_netted,3,2,33.7,23,22.8,22.4,17.9,23.96,0,0,0,0,131.5,2,0,31,342,0,375,2.851711027,23,12,34,1,70,0.532319392
,103,sdb_netted,1,3,26.3,30.3,21.5,45.5,23,29.32,0,0,0,0,425.6,0,0,0,154,1,154,0.361842105,8,5,5,1,19,0.044642857
,104,both,3,3,18.2,26.2,26.4,25.1,28.3,24.84,0,0,0,0,133.5,26,12,222,1139,0,1399,10.47940075,24,10,55,33,122,0.913857678
,105,both,1,1,43.2,44.5,30.7,39.7,41.7,39.96,0,0,0,0,243.8,4,13,36,17,0,70,0.287120591,1,0,1,0,2,0.008203445
,106,sdb_netted,2,2,41,16.2,18.6,49.5,21.2,29.3,0,0,0,0,137.2,0,0,10,50,1,60,0.437317784,3,2,0,0,5,0.036443149
,107,sdb,1,2,36.8,34,35.8,41.9,39.3,37.56,0,0,0,0,325.7,5,87,486,187,0,765,2.348787228,4,0,2,0,6,0.018421861
,108,both_netted,1.5,2,24.8,26.5,26.2,31.9,24.5,26.78,0,0,0,0,132.7,6,4,17,859,0,886,6.676714393,20,13,19,0,52,0.391861341
,109,lw_netted,3.5,2,20.5,17.9,26,12.2,17.8,18.88,0,0,0,0,86,2,0,6,47,0,55,0.639534884,2,1,3,0,6,0.069767442
,110,lw,3,3,23.6,35.6,18.6,20.2,28.8,25.36,0,0,0,0,60.6,24,22,173,1193,0,1412,23.30033003,40,18,11,1,70,1.155115512
,111,clean,3,1,28.3,10.2,35.9,38.8,35.6,29.76,0,0,1,0.333333333,136.6,0,0,0,0,0,0,0,0,0,0,0,0,0
,112,clean,3,1,34.2,10.1,32.8,19.7,26.5,24.66,0,0,0,0,88.4,0,1,0,0,0,1,0.011312217,0,0,4,0,4,0.045248869
,113,both_netted,3,1,13.3,19.4,25.6,15.6,31,20.98,0,0,0,0,115,1,5,95,329,0,430,3.739130435,15,0,28,0,43,0.373913043
,114,untreated_netted,3,2,32.6,24.1,30.6,34.7,32.8,30.96,0,0,0,0,73.9,0,4,124,497,0,625,8.457374831,39,3,109,0,151,2.043301759
,115,untreated_netted,3,2,18.9,18.5,13.6,16.1,15.8,16.58,0,0,0,0,108.5,3,56,286,315,0,660,6.082949309,8,2,7,0,17,0.156682028
,116,untreated,2,2,26.2,33,24.7,11.3,17.4,22.52,0,0,0,0,171.1,1,85,215,282,0,583,3.407364115,10,0,4,0,14,0.081823495
,117,clean,2,1,21.5,26,23.8,27.4,16.7,23.08,0,1,5,2,144.6,0,0,0,0,0,0,0,0,0,0,0,0,0
,118,both_netted,3,2,42.9,19.7,17.1,38.8,28.1,29.32,0,0,0,0,64.2,1,0,1,9,0,11,0.171339564,17,4,57,0,78,1.214953271
,119,lw,1,2,20.7,18.5,25.5,22.7,18.7,21.22,0,0,0,0,122.6,0,16,151,69,0,236,1.924959217,2,0,7,0,9,0.073409462
,120,sdb,3,2,35.1,15.9,37.7,21,25.8,27.1,0,0,0,0,62.6,5,6,131,479,0,621,9.920127796,16,6,39,0,61,0.974440895
,121,both,3,1,26.3,34.7,25.6,32.3,18.9,27.56,0,0,0,0,208.9,3,0,15,219,0,237,1.134514122,2,0,5,0,7,0.033508856
,122,sdb_netted,3,2,23.7,14.4,27.9,22,30.6,23.72,3,2,1,2,139.5,2,20,49,51,0,122,0.874551971,7,0,19,0,26,0.186379928
,123,clean,3,1,22.4,23.8,28.6,24.9,11.4,22.22,0,0,6,2,133.6,1,0,0,0,0,1,0.00748503,0,0,0,0,0,0
,124,untreated,3,1,8.9,14.2,23.8,14.5,10.8,14.44,0,0,0,0,190.1,0,20,74,74,0,168,0.883745397,2,0,9,0,11,0.057864282
,125,lw_netted,3,2,19.2,23.7,16.7,14.8,9.5,16.78,0,0,0,0,157.3,10,0,15,297,0,322,2.047043865,2,8,6,0,16,0.101716465
