treenumber,treatment,initial_osc,initial_fec,initial_malec,initial_nymphc,initial_cmbsc,initial_cmbsd,final_osc,final_fec,final_malec,final_nymphc,abc_retention ,final_cmbsc,final_cmbsd,length (cm)
1,sdb,130,6,26,0,162,0.368768495,0,27,79,161,0,267,0.607785113,439.3
2,lw_netted,12,4,30,0,46,0.567901235,0,2,12,193,0,207,2.555555556,81
3,untreated,54,5,32,0,91,0.287974684,4,22,429,2194,0,2649,8.382911392,316
4,untreated,17,51,48,1,117,1.673819742,10,18,271,1195,0,1494,21.37339056,69.9
5,lw_netted,23,3,37,0,63,0.305084746,0,7,88,725,0,820,3.97094431,206.5
6,both,9,5,10,0,24,0.040390441,9,14,8,27,0,58,0.097610232,594.2
7,sdb,37,7,23,0,67,0.177014531,11,65,871,2090,0,3037,8.023778071,378.5
8,untreated,19,9,44,0,72,0.739979445,11,8,19,833,0,871,8.951695786,97.3
1491,clean,0,0,0,0,0,0,0,0,0,6,0,6,0.015560166,385.6
10,lw_netted,36,8,48,3,95,0.169009073,11,74,188,1753,0,2026,3.604340865,562.1
11,sdb_netted,31,7,21,0,59,0.742138365,3,4,12,21,0,40,0.503144654,79.5
12,lw ,43,4,2,0,49,0.296072508,8,191,597,1319,0,2115,12.77945619,165.5
13,both_netted,49,10,16,0,75,0.555144338,4,66,166,2859,0,3095,22.90895633,135.1
14,untreated,42,24,6,23,95,0.944333996,33,64,216,1282,0,1595,15.85487078,100.6
15,lw_netted,27,21,82,1,131,1.510957324,21,0,34,1251,0,1306,15.06343714,86.7
16,sdb,16,4,14,0,34,0.32288699,5,7,81,656,0,749,7.113010446,105.3
17,both_netted,13,9,6,0,28,0.199288256,11,5,19,268,1,303,2.15658363,140.5
18,untreated,38,5,6,0,49,0.432098765,2,15,152,485,0,654,5.767195767,113.4
19,untreated_netted,2,0,5,0,7,0.058430718,0,0,0,0,0,0,0,119.8
20,both,2,0,15,0,17,0.160226202,3,36,91,160,0,290,2.7332705,106.1
21,sdb,0,2,0,0,2,0.018050542,0,0,0,0,0,0,0,110.8
22,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,232
23,untreated_netted,4,0,3,0,7,0.052592036,0,0,6,10,0,16,0.120210368,133.1
24,untreated,15,11,24,0,50,0.546448087,51,106,88,1923,0,2168,23.69398907,91.5
25,lw ,1,0,12,0,13,0.122873346,3,3,6,412,0,424,4.007561437,105.8
26,both_netted,6,0,2,0,8,0.062646829,0,1,96,177,0,274,2.145653876,127.7
27,untreated,7,0,25,0,32,0.212201592,1,45,228,340,0,614,4.071618037,150.8
28,untreated,1,0,0,0,1,0.011160714,0,0,16,23,0,39,0.435267857,89.6
29,untreated_netted,3,0,0,0,3,0.020818876,0,1,20,231,0,252,1.748785566,144.1
30,sdb,6,0,6,0,12,0.1179941,0,31,217,175,0,423,4.159292035,101.7
31,lw ,2,0,2,0,4,0.042016807,1,0,12,195,0,208,2.18487395,95.2
32,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,83
33,both_netted,3,5,7,1,16,0.119402985,23,96,193,343,0,655,4.888059701,134
34,sdb,4,2,9,0,15,0.117647059,12,24,139,231,0,406,3.184313725,127.5
35,untreated,1,0,0,0,1,0.009017133,16,60,87,64,0,227,2.046889089,110.9
1186,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,279.4
37,lw ,10,2,16,4,32,0.22393282,7,25,106,836,0,974,6.815955213,142.9
38,lw_netted,48,24,34,9,115,0.935720098,3,2,20,696,0,721,5.866558177,122.9
39,untreated_netted,3,1,2,0,6,0.070175439,1,1,22,143,0,167,1.953216374,85.5
40,untreated,19,2,5,0,26,0.619047619,0,4,69,648,0,721,17.16666667,42
41,both_netted,90,13,33,0,136,1.358641359,6,17,259,1326,0,1608,16.06393606,100.1
42,both,2,1,0,0,3,0.024469821,1,27,81,130,0,239,1.949429038,122.6
43,lw ,5,4,1,0,10,0.116009281,1,6,89,245,0,341,3.955916473,86.2
1193,clean,0,0,0,0,0,0,0,0,10,1,0,11,0.037568306,292.8
45,sdb,10,2,22,5,39,0.327181208,6,37,218,364,0,625,5.243288591,119.2
1180,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5
47,lw ,15,71,39,7,132,0.91349481,9,3,80,1712,0,1804,12.48442907,144.5
48,untreated_netted,1,0,0,3,4,0.059701493,0,0,10,67,0,77,1.149253731,67
49,untreated_netted,1,1,13,5,20,0.070646415,5,1,24,121,0,151,0.533380431,283.1
50,both,30,0,12,0,42,0.392890552,3,54,527,443,0,1027,9.607109448,106.9
51,sdb_netted,32,16,29,19,96,0.711111111,9,2,176,548,0,735,5.444444444,135
52,lw ,13,10,30,7,60,0.695249131,11,7,148,367,0,533,6.17612978,86.3
53,both,10,3,4,5,22,0.158730159,2,46,129,425,0,602,4.343434343,138.6
54,both,49,21,57,45,172,1.463829787,9,16,72,1410,0,1507,12.82553191,117.5
55,both,36,20,14,9,79,0.854978355,18,7,118,1049,0,1192,12.9004329,92.4
56,sdb,6,2,16,5,29,0.311493018,22,33,36,314,0,405,4.350161117,93.1
57,sdb_netted,43,11,54,14,122,1.27348643,3,2,7,361,0,373,3.893528184,95.8
58,untreated,12,1,5,0,18,0.181818182,22,83,212,190,0,507,5.121212121,99
59,lw_netted,10,9,8,1,28,0.419161677,2,0,4,249,0,255,3.817365269,66.8
60,both_netted,39,14,19,1,73,0.635888502,39,24,114,771,0,948,8.257839721,114.8
61,untreated_netted,10,5,9,0,24,0.035885167,0,27,31,280,0,338,0.505382775,668.8
62,lw_netted,24,24,73,11,132,0.27924688,61,24,124,1044,0,1253,2.65072985,472.7
1177,clean,0,0,0,0,0,0,0,1,0,0,0,1,0.006514658,153.5
63,lw_netted,6,6,15,0,27,0.060510982,2,27,121,125,0,275,0.616315554,446.2
64,sdb_netted,12,1,2,0,15,0.029486927,0,2,23,50,2,75,0.147434637,508.7
65,both_netted,60,0,29,0,89,0.320720721,0,0,0,147,0,147,0.52972973,277.5
66,lw ,0,12,10,0,22,0.105011933,4,2,1,75,0,82,0.391408115,209.5
67,both_netted,100,36,63,0,199,0.534228188,10,62,1013,2325,0,3410,9.154362416,372.5
68,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5
69,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,175.5
70,lw ,13,1,5,1,20,0.209643606,21,8,116,445,0,590,6.184486373,95.4
71,both_netted,25,2,16,0,43,0.369733448,0,57,459,698,0,1214,10.43852107,116.3
72,lw_netted,41,7,7,1,56,0.372836218,11,5,103,1684,0,1803,12.00399467,150.2
73,both,8,4,16,18,46,0.494092374,17,136,179,459,0,791,8.496240602,93.1
74,both_netted,10,9,28,9,56,0.321654222,4,9,9,147,0,169,0.970706491,174.1
75,lw ,19,21,18,0,58,0.613756614,10,16,285,1218,0,1529,16.17989418,94.5
76,clean,0,0,4,0,4,0.034188034,0,0,0,0,0,0,0,117
77,both,26,20,32,1,79,0.632,77,75,160,1086,0,1398,11.184,125
78,sdb_netted,15,3,27,0,45,0.410958904,2,4,33,215,0,254,2.319634703,109.5
79,lw_netted,1,34,52,0,87,0.831739962,57,10,43,1010,0,1120,10.70745698,104.6
80,both,1,0,3,0,4,0.02065049,4,19,57,59,0,139,0.717604543,193.7
81,untreated_netted,4,26,43,0,73,0.315607436,6,14,40,20,0,80,0.345871163,231.3
82,both_netted,14,4,6,0,24,0.222841226,1,24,160,740,0,925,8.588672238,107.7
83,untreated,6,1,11,0,18,0.032745134,50,11,58,311,0,430,0.782244861,549.7
84,both,1,2,9,0,12,0.022740193,3,3,3,70,0,79,0.149706273,527.7
85,lw_netted,19,4,6,0,29,0.072103431,5,48,740,933,0,1726,4.291397315,402.2
86,lw ,11,0,10,0,21,0.101156069,0,36,88,222,0,346,1.666666667,207.6
87,sdb,14,0,30,7,51,0.573033708,20,33,49,414,0,516,5.797752809,89
88,untreated,3,3,16,0,22,0.195035461,13,45,83,258,0,399,3.537234043,112.8
89,sdb_netted,24,0,26,0,50,0.554323725,0,0,5,9,3,14,0.155210643,90.2
90,sdb_netted,15,1,7,0,23,0.263459336,0,0,5,47,0,52,0.595647194,87.3
91,lw_netted,5,10,12,5,32,0.173066522,13,25,45,245,0,328,1.773931855,184.9
92,untreated_netted,34,5,23,2,64,0.598130841,14,0,15,309,0,338,3.158878505,107
93,sdb_netted,13,18,84,7,122,1.153119093,11,0,3,11,2,25,0.236294896,105.8
94,sdb,63,10,26,0,99,1.220715166,0,0,65,565,0,630,7.768187423,81.1
95,sdb,1,0,0,0,1,0.014005602,0,1,0,0,0,1,0.014005602,71.4
1466,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,246.8
97,untreated_netted,38,3,9,5,55,0.523809524,16,6,80,82,0,184,1.752380952,105
98,sdb_netted,10,5,3,0,18,0.205714286,0,0,0,0,0,0,0,87.5
99,lw ,5,3,3,1,12,0.022172949,11,94,230,361,0,696,1.286031042,541.2
100,sdb,27,3,14,8,52,0.43153527,2,25,205,873,0,1105,9.170124481,120.5
101,sdb_netted,15,1,2,0,18,0.089775561,1,0,0,78,0,79,0.394014963,200.5
102,sdb_netted,23,12,34,1,70,0.532319392,2,0,31,342,0,375,2.851711027,131.5
103,sdb_netted,8,5,5,1,19,0.044642857,0,0,0,154,1,154,0.361842105,425.6
104,both,24,10,55,33,122,0.913857678,26,12,222,1139,0,1399,10.47940075,133.5
105,both,1,0,1,0,2,0.008203445,4,13,36,17,0,70,0.287120591,243.8
106,sdb_netted,3,2,0,0,5,0.036443149,0,0,10,50,1,60,0.437317784,137.2
107,sdb,4,0,2,0,6,0.018421861,5,87,486,187,0,765,2.348787228,325.7
108,both_netted,20,13,19,0,52,0.391861341,6,4,17,859,0,886,6.676714393,132.7
109,lw_netted,2,1,3,0,6,0.069767442,2,0,6,47,0,55,0.639534884,86
110,lw ,40,18,11,1,70,1.155115512,24,22,173,1193,0,1412,23.30033003,60.6
111,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6
112,clean,0,0,4,0,4,0.045248869,0,1,0,0,0,1,0.011312217,88.4
113,both_netted,15,0,28,0,43,0.373913043,1,5,95,329,0,430,3.739130435,115
114,untreated_netted,39,3,109,0,151,2.043301759,0,4,124,497,0,625,8.457374831,73.9
115,untreated_netted,8,2,7,0,17,0.156682028,3,56,286,315,0,660,6.082949309,108.5
116,untreated,10,0,4,0,14,0.081823495,1,85,215,282,0,583,3.407364115,171.1
117,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,144.6
118,both_netted,17,4,57,0,78,1.214953271,1,0,1,9,0,11,0.171339564,64.2
119,lw ,2,0,7,0,9,0.073409462,0,16,151,69,0,236,1.924959217,122.6
120,sdb,16,6,39,0,61,0.974440895,5,6,131,479,0,621,9.920127796,62.6
121,both,2,0,5,0,7,0.033508856,3,0,15,219,0,237,1.134514122,208.9
122,sdb_netted,7,0,19,0,26,0.186379928,2,20,49,51,0,122,0.874551971,139.5
123,clean,0,0,0,0,0,0,1,0,0,0,0,1,0.00748503,133.6
124,untreated,2,0,9,0,11,0.057864282,0,20,74,74,0,168,0.883745397,190.1
125,lw_netted,2,8,6,0,16,0.101716465,10,0,15,297,0,322,2.047043865,157.3
