treenumber,treatment,spad1,spad2,spad3,spad4,spad5,spad_avg
1,sdb,30.8,45.5,38.3,32.1,47,38.74
2,lw_netted,13.3,14.6,21.8,30.5,19.2,19.88
3,untreated,37.3,43.3,32.6,45.2,25.6,36.8
4,untreated,12.5,25.1,6.3,25.6,19,17.7
5,lw_netted,23.4,29.8,37.2,1.8,16.2,21.68
6,both,37.5,27.5,33.7,39.7,40.7,35.82
7,sdb,34.8,34.1,29.5,34.4,40.2,34.6
8,untreated,14,13.8,39.1,23.9,34.8,25.12
1491,clean,30.2,24.6,19.4,37.6,26.6,27.68
10,lw_netted,22,42.3,30.5,41.4,21.2,31.48
11,sdb_netted,21.7,25.4,32.2,27.7,16.3,24.66
12,lw ,15.5,14.2,16.5,17.5,31,18.94
13,both_netted,43.8,23.1,23.9,16.9,22.6,26.06
14,untreated,15,11.7,8.2,8.6,7.7,10.24
15,lw_netted,21.6,29,26.9,5.7,17.6,20.16
16,sdb,29.8,24.9,28.4,23.4,44.2,30.14
17,both_netted,39.5,41.8,31,32.2,25.1,33.92
18,untreated,12.7,18.7,27.9,15.8,28,20.62
19,untreated_netted,28.4,22,18.5,10,9.2,17.62
20,both,13.9,22.5,13.7,21,13.9,17
21,sdb,29.2,16.8,30.3,27.5,24.7,25.7
22,clean,34.2,29.7,18,37.9,39.8,31.92
23,untreated_netted,22.7,26.2,27,21.5,18.9,23.26
24,untreated,22.4,23,23,32,27.7,25.62
25,lw ,9.6,16.3,15.9,13.2,15.8,14.16
26,both_netted,30.1,25.8,14.4,24.9,20.6,23.16
27,untreated,18.6,13,25.5,16.9,38.9,22.58
28,untreated,17.4,11.5,12.8,18.1,8.8,13.72
29,untreated_netted,24.6,21.1,23.5,30.2,25.8,25.04
30,sdb,57,30.5,18.4,21.6,23.8,30.26
31,lw ,36.5,12.1,23.2,22.4,17.7,22.38
32,clean,16.1,19,24.8,22.6,27.5,22
33,both_netted,25.9,31.8,45.2,34.5,23,32.08
34,sdb,20.6,26,14.4,12.5,18.7,18.44
35,untreated,25.1,20.7,18.7,20.2,20.2,20.98
1186,clean,41,28.9,26.1,31.2,24.8,30.4
37,lw ,19.6,15.7,21.4,18.4,20.4,19.1
38,lw_netted,24.1,25.9,17.4,9.5,28,20.98
39,untreated_netted,20.1,23.9,20,18.6,24.3,21.38
40,untreated,15.5,14.9,21.1,11,11,14.7
41,both_netted,24.2,31.3,33.2,21.7,29.7,28.02
42,both,25.2,32.2,41,22.8,29.8,30.2
43,lw ,17.8,22.1,13.5,16,19.7,17.82
1193,clean,37.2,42.7,23.1,43.5,21.6,33.62
45,sdb,34.4,45,36.8,37.7,35.2,37.82
1180,clean,39.3,35.8,34,32.7,22.9,32.94
47,lw ,16.5,19,22.6,27.6,26.5,22.44
48,untreated_netted,25.4,15.2,19.4,13.1,49.9,24.6
49,untreated_netted,31.7,22.3,31,26.1,25.2,27.26
50,both,33.2,16.2,21,18.1,22.5,22.2
51,sdb_netted,23.2,20.9,13.7,23.3,20.7,20.36
52,lw ,22,25.7,16.7,20.6,11.6,19.32
53,both,29.4,30.7,16.6,13.5,18.2,21.68
54,both,25.3,37.5,23.1,30,29.2,29.02
55,both,27.8,14,22.1,20.3,11.9,19.22
56,sdb,27.8,27.4,30.5,29,32.2,29.38
57,sdb_netted,12.6,10.7,13.8,21.4,27,17.1
58,untreated,33.9,13.5,39.2,22.3,18.2,25.42
59,lw_netted,27.6,28.2,29.8,29.5,14.7,25.96
60,both_netted,15.6,10.3,19.3,23.5,19.4,17.62
61,untreated_netted,28.2,26.9,34.2,28.4,31.9,29.92
62,lw_netted,35.2,34.8,50.2,39.5,42.3,40.4
1177,clean,30.1,31,30.8,27.5,24.5,28.78
63,lw_netted,31.6,34.2,51.3,40.2,43.1,40.08
64,sdb_netted,29.2,41.1,34.5,20.5,26.4,30.34
65,both_netted,37.7,24.6,44.4,50.2,33.7,38.12
66,lw ,30.4,26.4,31.9,32.6,18.3,27.92
67,both_netted,38.4,53.5,56.8,53.1,51.9,50.74
68,clean,6.6,12.7,10.8,20.1,23.1,14.66
69,clean,16.9,21.2,14.4,24.7,18.6,19.16
70,lw ,33.3,33.7,38.1,24.4,22.4,30.38
71,both_netted,27.7,17.2,33,31,19.3,25.64
72,lw_netted,21,21.1,25,25.5,24,23.32
73,both,31.6,11.2,21.7,16.1,9.6,18.04
74,both_netted,40.3,40.1,33,24,21.8,31.84
75,lw ,11.6,21.3,16.9,28.1,20.1,19.6
76,clean,23.8,29.4,20.1,20.4,25.9,23.92
77,both,38.7,22.3,39,30.5,43.7,34.84
78,sdb_netted,45.3,22.8,19.4,28.4,30.3,29.24
79,lw_netted,10.7,18,13.9,21.2,11.8,15.12
80,both,23.6,36.9,19.3,17.3,13.8,22.18
81,untreated_netted,31,36,40.5,42.8,42.3,38.52
82,both_netted,22.2,19.7,19.4,19.8,24.1,21.04
83,untreated,44.1,42.3,43.1,38.4,41.2,41.82
84,both,30.8,22.7,23.1,39.2,40.7,31.3
85,lw_netted,33.6,42.4,34.1,36.6,37.7,36.88
86,lw ,45.3,19.2,43.6,38.9,19.4,33.28
87,sdb,9.4,18.8,7.8,8.5,10.6,11.02
88,untreated,12.4,47.8,38.5,38.2,39.3,35.24
89,sdb_netted,31.2,25.8,28.6,25.9,29.8,28.26
90,sdb_netted,17.5,19.7,23.6,38.4,18.1,23.46
91,lw_netted,14.2,19.2,36.3,24,17.3,22.2
92,untreated_netted,17.8,16.8,11.6,20.8,18.9,17.18
93,sdb_netted,17.1,13.6,16.2,26.3,10.4,16.72
94,sdb,30.8,24.8,29.8,26.2,18.5,26.02
95,sdb,17.8,36.6,32.3,34.5,20.1,28.26
1466,clean,43.5,42.9,26.8,45,42.4,40.12
97,untreated_netted,16.5,10.1,21.7,13.4,27.1,17.76
98,sdb_netted,8.4,8,12.4,9.3,9.4,9.5
99,lw ,18.6,37.5,34.2,26.7,33.5,30.1
100,sdb,14.8,38.5,24.4,32.4,37.7,29.56
101,sdb_netted,29.7,14,29.7,10.8,14,19.64
102,sdb_netted,33.7,23,22.8,22.4,17.9,23.96
103,sdb_netted,26.3,30.3,21.5,45.5,23,29.32
104,both,18.2,26.2,26.4,25.1,28.3,24.84
105,both,43.2,44.5,30.7,39.7,41.7,39.96
106,sdb_netted,41,16.2,18.6,49.5,21.2,29.3
107,sdb,36.8,34,35.8,41.9,39.3,37.56
108,both_netted,24.8,26.5,26.2,31.9,24.5,26.78
109,lw_netted,20.5,17.9,26,12.2,17.8,18.88
110,lw ,23.6,35.6,18.6,20.2,28.8,25.36
111,clean,28.3,10.2,35.9,38.8,35.6,29.76
112,clean,34.2,10.1,32.8,19.7,26.5,24.66
113,both_netted,13.3,19.4,25.6,15.6,31,20.98
114,untreated_netted,32.6,24.1,30.6,34.7,32.8,30.96
115,untreated_netted,18.9,18.5,13.6,16.1,15.8,16.58
116,untreated,26.2,33,24.7,11.3,17.4,22.52
117,clean,21.5,26,23.8,27.4,16.7,23.08
118,both_netted,42.9,19.7,17.1,38.8,28.1,29.32
119,lw ,20.7,18.5,25.5,22.7,18.7,21.22
120,sdb,35.1,15.9,37.7,21,25.8,27.1
121,both,26.3,34.7,25.6,32.3,18.9,27.56
122,sdb_netted,23.7,14.4,27.9,22,30.6,23.72
123,clean,22.4,23.8,28.6,24.9,11.4,22.22
124,untreated,8.9,14.2,23.8,14.5,10.8,14.44
125,lw_netted,19.2,23.7,16.7,14.8,9.5,16.78
